2015-03-03/15/15 User with no valid session tries access to page /kb-search  FAIL HIGH 127.0.0.1
2015-03-03/15/15 Valid username/password submit  SUCCESS HIGH 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
2015-03-03/15/15 User supplied not an a-zA-Z0-9 value  FAIL MEDIUM 127.0.0.1
